japanese,english
レイテ,Leyte
一本化,unification
合間,Interval
可視,Visibility
和夫,Kazuo
廃刊,Discontinued
日置,Hioki
条文,Provisions
静脈,vein
ペダル,pedal
ブルーノ,Bruno
きら,Kira
ウォレス,Wallace
閉館,Closed
雑貨,Miscellaneous goods
山県,Yamagata
併記,Also shown
ダイジェスト,digest
プロフェッショナル,professional
ポルト,Porto
事柄,Thing
未完成,unfinished
炭化,Carbonization
トランジスタ,Transistor
下層,Underlayer
共闘,A united front
メンフィス,Memphis
疾風,Gale
音質,Sound quality
華麗,Splendor
背鰭,Dorsal fin
随筆,essay
健在,In good health
全廃,Total abolition
比重,specific gravity
源泉,source
県営,Prefectorial
鰤,Yellowtail
網走,Abashiri
バーミンガム,Birmingham
朝日新聞社,The Asahi Shimbun
別所,Bessho
捕まえる,catch
当て嵌まる,It applies round
レディ,Lady
生田,Ikuta
高値,High price
オークション,auction
ポツダム,Potsdam
ポテンシャル,potential
着実,steady
貞享,Teikyo
郁,Yu
午,Horse
周防,Suo
均,Hitoshi
公文書,Official document
序列,Rank
シモン,Simon
アーマー,armor
一夜,overnight
故に,Therefore
在庫,stock
暖房,heating
儒学,Confucianism
其れ故,Hence
増援,Reinforcement
金貨,Gold coin
途,Applications
ジャム,jam
乗っ取る,Hijack
注入,injection
犬山,Inuyama
狭山,Sayama
移築,Relocated
縁起,Omen
盟国,Member States
赤城,Akagi
芳香,Aroma
三方,Three sides
掛川,Kakegawa
併せ持つ,Both
夜明け,breaking Dawn
フェンダー,fender
紫外線,Ultraviolet rays
随時,At any time
際立つ,Stand out
筑前,Chikuzen
文理,Humanities and sciences
不審,distrust
果物,fruit
水位,Water level
クウェート,Kuwait
多田,Tada
元治,Motoharu
ランディ,Randy
硫化,Sulfide
鼓,Hand drum
バーク,Burke
ノウハウ,Know-how
冊子,booklet
入間,Iruma
他界,Death
大腸,colon
インテリア,interior
鮭,salmon
増築,Build-
察知,Infer
モンロー,Monroe
枝垂れる,Shidareru
ドラゴンクエスト,Dragon Quest
ミゲル,Miguel
柏原,Kashiwabara
参道,The approach
履修,Course
樋口,Higuchi
内乱,Civil war
マクロ,macro
パンフレット,Pamphlet
ダイレクト,direct
霧島,Kirishima
被弾,Hit
起草,drafting
血縁,Blood relative
補修,repair
温帯,Temperate zone
立て直す,Rebuild
脱線,Derailment
芹,Seri
デリー,Delhi
佐久,Saku
ワクチン,vaccine
水着,Swimsuit
旅順,Lushun
ギャンブル,gambling
テロリスト,terrorist
ボディー,body
洋子,Yoko
滝川,Takigawa
掲示,Bulletin
概略,Summary
内村,Uchimura
一言,A single word
バーナード,Bernard
異色,Different color
頭蓋,Cranial
黒字,A surplus
縦貫,Running through
恒久,permanent
散乱,scattering
江蘇,Jiangsu
福原,Fukuhara
クラウス,Klaus
ジュール,Joule
業態,Business conditions
徳山,Tokuyama
前任,Former
受諾,Acceptance
小麦,wheat
平戸,Hirado
翔ぶ,Flies
相良,Sagara
歌声,Singing voice
そういう,Like that
アンチ,Anti
一座,Troupe
結末,End
ハッピー,Happy
スペンサー,Spencer
ソルトレイク,Salt Lake
不変,Immutable
但馬,Tajima
ウィー,Wee
駅員,Station attendant
郡上,Gujo
郷里,His hometown
蕪,turnip
反共,Anticommunist
変則,Anomaly
届,Notification
島嶼,islands
画素,Pixels
直属,Direct supervision
香取,Katori
円錐,cone
千住,Senju
戸塚,Totsuka
ワースト,worst
ブリストル,Bristol
プラチナ,platinum
ゲノム,genome
ジブラルタル,Gibraltar
存命,Alive
守谷,Moriya
恩恵,benefit
案件,Projects
アンソロジー,Anthology
過失,Accident
確執,Discord
アロン,Aaron
ガダルカナル,Guadalcanal
めぐみ,Megumi
手作り,Handmade
光子,photon
伸び悩む,Be sluggish
六甲,Rokko
大々的,A big way
宮古,Miyako
カーニバル,carnival
関口,Sekiguchi
舞踏,Dancing
皇位,Imperial throne
西園寺,Saionji
軟式,Softball
イングリッシュ,English
シュン,Shun
スクリプト,script
対等,Equivalent
中井,Nakai
愛子,Aiko
レノン,Lennon
噺,Story
オースティン,Austin
谷村,Tanimura
熟練,Skill
封建,Feudalistic
ニクソン,Nixon
ホフマン,Hoffman
タール,tar
聴衆,audience
蓑,Mino
強要,Extortion
ラバウル,Rabaul
交友,Friend
軽便,Mopeds
目の前,Front of
聴覚,Hearing
マシュー,Matthew
アトラス,Atlas
標語,Slogan
某,certain
惚ける,Dote
プリンター,printer
オセアニア,Oceania
サンプリング,sampling
恨む,Curse
何時でも,anytime
西条,Saijo
熱海,Atami
堀内,Horiuchi
ラベル,label
パッチ,patch
バスストップ,bus stop
ブレード,blade
イベリア,Iberia
おもちゃ,toy
松阪,Matsusaka
信夫,Shinobu
マーチ,March
ヘリウム,helium
王様,King
苫小牧,Tomakomai
浙江,Zhejiang
ブルターニュ,Brittany
乱入,Trespassing
元町,Motomachi
モンタナ,Montana
本陣,Troop headquarters
来場,Attendance
サハラ,Sahara
インドシナ,Indochina
グラハム,Graham
生母,Real mother
紙面,Space
優遇,Favorable treatment
汚れる,Get dirty
愚,Folly
同定,Identification
グレッグ,Greg
このまま,like this
サルデーニャ,Sardinia
カタール,Qatar
満塁,Bases loaded
漂流,drifting
転覆,Capsizing
リヒャルト,Richard
ニューポート,Newport
ギルド,guild
会津若松,Aizu-Wakamatsu
秋刀魚,pike
髄,Pith
都会,City
経理,accounting
財源,Resources
何者,Who
多種多様,a diversity of
宮島,Miyajima
ボローニャ,Bologna
ホッケー,hockey
ツァーリ,Tsar
大町,Omachi
残党,Remnants
沈黙,silence
祭礼,Festival
陪審,jury
不祥事,Scandal
文人,Literati
ティムール,Timur
ボルドー,Bordeaux
プリメーラ,Primera
ヒューマン,Human
非,Non
繰り上げる,Move up
慎,Makoto
値する,Deserve
山上,Mountain top
川田,Kawada
リハビリ,Rehabilitation
代金,price
凹む,Cave in
トロンボーン,trombone
ホルシュタイン,Holstein
立ち向かう,Fight
通販,mail order
賊,Thief
苦情,Complaint
明智,Akechi
木場,Lumberyard
東経,east longitude
あれ,that
くじ,Lottery
たかし,Takashi
なんて,Nante
捕まる,get caught
飛翔,flying
生計,living
清原,Kiyohara
髪形,Hairstyle
放射能,radioactivity
家業,Family business
専制,Despotism
代償,Compensation
依然,still
モーション,motion
ハロー,Hello
ファクトリー,Factory
ネック,neck
鈍,Blunt
長方形,Rectangle
滅多,Seldom
ジュース,juice
方位,Direction
喬,Takashi
有能,Efficient
定量,Quantitative
切り替わる,Switched
真ん中,middle
ジョアン,Joan
ガルシア,Garcia
不信,distrust
曙,Dawn
検知,Detection
毎秒,Every second
百姓,Farmer
観衆,Spectators
アフター,After
ヒート,Heat
プトレマイオス,Ptolemy
白書,White paper
続々,One after another
持ち味,Flavor
横手,Yokote
嗜好,preference
チャーター,charter
ディラン,Dylan
持参,Bringing
業種,Type of industry
山寺,Mountain temple
アイコン,icon
シュミット,Schmitt
牽制,Restraint
荒れる,Rough
流布,Dissemination
上人,Holy priest
パラオ,Palau
タムボン,Tambon
共学,Coed
掃除,clean up
時に,Sometimes
溜める,Store
ザルツブルク,Salzburg
楢,Oak
局番,Codes
セレクション,selection
ハロルド,Harold
フライング,flying
途切れる,Pause
絶版,Out of print
都城,Miyakonojo
目玉,Eyeball
分譲,Sale
木戸,Wicket
ぶつかる,Collide
ウェーバー,Weber
ガム,Gum
そっくり,Entirely
アクセル,accelerator
博文,Hirofumi
了承,acknowledgment
漬ける,Pickle
銀貨,Silver coins
鰐,crocodile
ミッチェル,Mitchell
ハーバー,Harbor
氏名,Full name
蔭,shade
達也,Tatsuya
ワイヤー,wire
ヴァルター,Walther
乱闘,Fray
公平,fair
ペーター,Peter
エリー,Erie
酵母,yeast
蓄える,store
自覚,Awareness
充填,filling
呈する,Exhibits
右京,Ukyo
思い出す,remember
一変,Complete change
プロトン,proton
チェルシー,Chelsea
真っ直ぐ,straight
どころ,Far from
オークス,Oaks
アスレチックス,Athletics
修学,Scholastic
石見,Iwami
竹下,Takeshita
限度,limit
宮田,Miyata
ユーモア,humor
工具,tool
修繕,repair
レーガン,Reagan
断続,intermittent
竿,rod
豊中,Toyonaka
航続距離,Cruising distance
クロスカントリー,cross country
折り,Fold
弧,Arc
士気,morale
残骸,debris
レディース,Women
虚偽,Falsehood
誤認,Mistaking
グレゴリオ暦,Gregorian calendar
配る,Distribute
鱈,cod
見立てる,Mitateru
渋川,Shibukawa
扱える,Handle
斡旋,mediation
早速,immediately
